11111111111111111111111111111111
13    4   =                   81
1     4   =                   81
1111111111=                   81
1         =                   81
1         =                   81
1         =                   81
1         =                   81
1         = 4                 11
1         =1111 1              1
1         =Φ    1              1
1         =  11                1
1         =    Δ               1
1         =   111              1
1         =    φ1             11
1         = Ω1111G            31
1         =   p                1
1   4    2=                    1
111111111111111111Ω1111111111111
11111111111111111111111111111111
