$background: 20, 14, 1, 1, 25
11111111111111111111111111111111
1 ;;;;;;;;;;;;;;;;;;1;;;;;;;;; 1
1,                  1         '1
1,                  3         '1
1,                            '1
1,                            '1
1,            .   4           '1
1,            3  1111=        '1
1,      9            =   c    '1
1,     p      5      =        '1
1,     p             =        '1
1,  2  p           p =        '1
1, 11111111     1-11=1    8 . '1
Φ                 '1=11   . 3 '1
111G::::::        '1p111      '1
1ξ3J111111    :   '1=1311  p  '1
1          :: 1Ω,          φ1  1
1^11111111111 111111^11111111^11
1                              1
11111111111111111111111111111111
