11111111111111111111111111111111
1C              c              1
1                              1
1      =1 C              1     1
1      =11111111 111111111     1
1      =1                     81
1      =                      11
1     p= Ξ                    31
1c     =111    9Ψ              1
11     =        1         111111
1C     =111    9Ψ              1
1      =                      11
1      =                      31
1      =                       1
1      =                    1111
1    c =                    1111
1   111=1111111             1111
1      =                       1
1c  C  =      2               ψ1
11111111111111111111111111111111
