$extra: 1
$stonepattern: 2
$electricitymode: command
$condition: 14, 8, fishName = Electric Catfish
$movable: 14, 8, no
$range: 14, 8, 4
$target: 14, 8, command
$value: 14, 8, activateelectricity, 15
$fins: 12, 4, 4
$palette: 12, 4, 39
$shape: 12, 4, 1
$stripes: 12, 4, 7
$tail: 12, 4, 4
$fins: 13, 6, 14
$palette: 13, 6, 38
$pupilpercentage: 13, 6, 35
$shape: 13, 6, 12
$stripes: 13, 6, 18
$tail: 13, 6, 5
$fins: 15, 7, 14
$palette: 15, 7, 38
$pupilpercentage: 15, 7, 35
$shape: 15, 7, 12
$stripes: 15, 7, 18
$tail: 15, 7, 5
$background: 12, 4, 1, 1, 23
$background: 13, 6, 1, 1, 23
$background: 11, 7, 1, 1, 23
$background: 15, 7, 1, 1, 23
1111111111111111111
11111!1111111111111
131       1       1
1 l       T       1
1111      11Ҽwwwww1
11 d  p   11wwwwww1
11   p    11wҼwwww1
1T 2 p    1kwwwҼww1
11111111111111ђ1111
