11111111111111111111111111111111
11        =1     ωωωω          1
13       p=1                   1
1        p=1                   1
1111  1111=1                   1
1         =1                   1
1         =1                   1
1111111111=1                  11
1 1 1     =1                  31
1  5   111=                    1
1    5 131=111111    11111111111
1        1=                    1
1      111=                    1
1         =                    1
1         =                    1
1     Ω Ω =                    1
1    11111=111111              1
1         =                    1
12Ω   Ω   =                    1
11111111111111111111111111111111
