$extra: 1
$stonepattern: 1
$group: 11, 3, 4
$pistonmode: 11, 3, momentary
$pistonmode: 0, 4, momentary
$group: 1, 12, 3
$pistonmode: 1, 12, momentary
$group: 6, 16, 2
$pistonmode: 6, 16, momentary
$group: 4, 6, 4
$group: 5, 17, 2
$group: 8, 18, 3
$group: 12, 15, 2
$direction: 12, 15, up
$group: 13, 15, 2
$direction: 13, 15, up
$group: 14, 15, 2
$direction: 14, 15, up
11111111111111111111
14444444φ111444444φ1
14111111111141111111
1411     11Ë4  11111
Ë4 1     11111 13111
11 1     13        1
11 1m    1         1
11 11=1111 111 111 1
11 1 =   1  3    1^1
11 1 =   1         1
11 1 =   111111111^1
11 1m=2  1         1
1Ì 11111 1=1   1 111
Φo    11 1=1   1 111
1 11ѨѨ11 1=1  411111
1     11 1=1њњњ11111
1     Ö1 1=1   1  31
1    m11           1
111VV111m       4  1
11111111111111111111
