$extra: 1
$stonepattern: 2
$activesides: 4, 2, left
$group: 4, 2, 2
$detectormode: 4, 2, lightblueball
$movable: 4, 2, no
$target: 4, 2, rotategroupright
$activesides: 3, 1, bottom
$detectormode: 3, 1, lightblueball
$movable: 3, 1, no
$target: 3, 1, rotategroupright
$group: 3, 3, 3
$detectormode: 3, 3, lightblueball
$movable: 3, 3, no
$target: 3, 3, rotategroupright
$group: 10, 13, 2
$movable: 10, 13, no
$group: 13, 13, 3
$movable: 13, 13, no
$movable: 1, 15, no
$group: 1, 2, 10
$pistonmode: 1, 2, repeatslow
$sticky: 1, 2, yes
$group: 9, 5, 2
$group: 9, 6, 3
111111111111111
111ђ11    5   1
1Ë5 ђ1        1
111ђ11        1
111111   њ    1
1        њ    1
1        њ    1
1 4     1111111
111 1    3   81
11111        11
1       1111111
1      111    1
1             1
1         ђ^vђ1
1        2    1
1ђ1111111111111
