11111111111111111111111111111111
111                            1
113           2    p           1
11         1111111111111111 +1=1
1T=1                         1=1
11=11                        1=1
11=11                        1=1
11=1111                        1
11  111111111 1111111111111 c 11
11               9           111
11111111111111111111           1
11    11          31           1
11    31           1           1
11b    T  p                    1
111111111111B1111111           1
113                   5        1
11                             1
1111                         111
1111                        C111
11111111111111111111111111111111
