$stonepattern: 1
11111111111111111111111111111111111
11                                1
13      111               4       1
1       111               4       1
11111111111111111111 5 p11111111 11
13                 1111           1
1       p p                       1
1        4                        1
11   111111111111111111111111111  1
1                      1       1  1
1                      1 4        1
11                     11111-111  1
13                           8 1  1
1                           1111  1
1                                 1
1           p                     1
1           5                   U 1
1           5                     1
1              4   2              1
11111111111111111111111111111111111
