$extra: 1
$stonepattern: 1
$display: 2, 4, stone
$detectormode: 2, 4, blueball
$movable: 2, 4, no
$onetime: 2, 4, yes
$target: 2, 4, command
$value: 2, 4, $lockeddoorcolor: 1, 2, blue
$display: 4, 4, stone
$detectormode: 4, 4, blueball
$movable: 4, 4, no
$onetime: 4, 4, yes
$target: 4, 4, command
$value: 4, 4, $lockeddoorcolor: 3, 3, yellow
$display: 7, 9, stone
$detectormode: 7, 9, blueball
$movable: 7, 9, no
$onetime: 7, 9, yes
$target: 7, 9, command
$value: 7, 9, move, lockeddoor, rel, 1, -1, up
$display: 8, 9, stone
$detectormode: 8, 9, blueball
$movable: 8, 9, no
$onetime: 8, 9, yes
$target: 8, 9, command
$value: 8, 9, move, key, rel, 1, -1, up
$display: 3, 14, stone
$detectormode: 3, 14, blueball
$movable: 3, 14, no
$onetime: 3, 14, yes
$target: 3, 14, command
$value: 3, 14, $lockeddoorcolor: 2, 13, blue
$display: 8, 14, stone
$detectormode: 8, 14, blueball
$movable: 8, 14, no
$onetime: 8, 14, yes
$range: 8, 14, 2
$target: 8, 14, command
$value: 8, 14, move, key, rel, 2, -2, right
$display: 9, 14, stone
$detectormode: 9, 14, blueball
$movable: 9, 14, no
$onetime: 9, 14, yes
$range: 9, 14, 2
$target: 9, 14, command
$value: 9, 14, move, key, rel, 2, -2, up
$display: 10, 14, stone
$detectormode: 10, 14, blueball
$movable: 10, 14, no
$onetime: 10, 14, yes
$range: 10, 14, 2
$target: 10, 14, command
$value: 10, 14, move, key, rel, 1, -3, up
$display: 11, 14, stone
$detectormode: 11, 14, blueball
$movable: 11, 14, no
$onetime: 11, 14, yes
$range: 11, 14, 2
$target: 11, 14, command
$value: 11, 14, delete, key, rel, 0, -4
$lockeddoorcolor: 1, 2, yellow
$lockeddoorcolor: 6, 5, yellow
$lockeddoorcolor: 9, 8, purple
$lockeddoorcolor: 10, 12, blue
$lockeddoorcolor: 3, 3, blue
$lockeddoorcolor: 8, 8, purple
$lockeddoorcolor: 2, 13, yellow
111111111111111
1111          1
1k 1          1
1  l          1
11ђ1ђ111111=111
1    1k   1=  1
1    1    1=  1
1    111  1=  1
1       lk1=  1
11111=1ђђ11=  1
111  =     =  1
111  =     =  1
131  =    k=  1
1 l  = 2   =  1
111ђ1111ђђђђ111
