11111111111111111111111111111111111
11                                1
13                    11111111111=1
1                   111 3       1=1
11111111111 1111111111          1=1
13     5                        1=1
1           4                   1=1
1=11111111111111    11111111    1=1
1=1                        1    1=1
1=1              UD        1    1=1
1                          1      1
1114                       1 111111
1  4       pp        5     1 111111
1  4    2                    111111
11111111111111111111111111111111111
