1111111111111111111111111111111111
1                               31
11  R       11111                1
111          111111111  5   4    1
1111          3     111111 1111111
11111111111                      1
1           5  4                 1
1         1111111                1
1          4                     1
1      1111111                   1
1              4                 1
1           11111                1
1         4                      1
1        11111                   1
1              4                11
1           11111               31
1         4                      1
1        11111      5            1
1          4 2                   1
11111111111111111111       1111111
1111111111111111111111111111111111
