$gameticks: elevator, 3
$extra: 1
$stonepattern: 1
$activesides: 16, 16, left
$detectormode: 16, 16, blueball
$activesides: 21, 4, bottom
$direction: 21, 4, up
$pistonmode: 25, 15, momentary
$group: 3, 16, 2
$group: 8, 16, 3
$group: 17, 11, 2
$group: 17, 7, 2
$group: 19, 5, 3
$direction: 19, 5, down
11111111111111111111111111111111
131111111111111111111111T 111111
1  1111111111111111111111 111131
1                              1
111111111111111 11111η1111111111
11            3 1  њ          11
11              1  c          11
11              1њ            c1
11              1              1
1T              1  .           1
111111111111    1          11  1
1            5  1њ C       c1  1
1             5 1              1
1              D11111 1        1
1               11111 11111    1
1               1111191 4Ö1    1
1  m    m       ђ1111Ψ1 111    1
1  11^v11       1111111 111    1
1             2 1111111ψ111c  C1
11111111111111111111111111111111
