$stonepattern: 1
111111111111111111111111111111111111111
1                                    31
1                                     1
1                          111111111111
1      2   4              5    4    111
1  1111111111111F111111111111111111 111
1   11118                   5         1
1    1111   1111-111111111111111      1
1     11                         5    1
1     3                       1p111 5 1
1                             14111 1=1
1     11                      1B111 1=1
1     11                              1
1  111111111                        111
1       9                           111
111111111                      5  11111
1111                              11  1
1111   11111111111111111111111111 3   1
1311  b1                              1
1  11111                              1
1                                     1
111111111111111111111111111111111111111
