11111111111111111111111111111111111
1    2 4                          1
1 1111111                  1      1
1 1         R                     1
1 1                               1
1 1                               1
1 1                       H1      1
1 1                      H1       1
1 1                     H1        1
1 1                    H1         1
1 1                   H1          1
1 1                               1
1 1                1G             1
1 1                 1G            1
1 1                  1G           1
1 1                   1G          1
1 1                    1G         1
1 1         1                     1
1 1     R                         1
1 1                               1
1 1                               1
1 1                               1
1 1                               1
1 1                               1
1 1                   1           1
1 1                        R      1
1 1                1G             1
1 1                 1G            1
1 1                  1G           1
1 1                   1G         H1
1 1WWWWWWWWWWWWWWWWWWWW1G        11
1 1wwwwwwwwwwwwwwwwwwwww1G       31
1 111111111111111111111111G       1
1                                 1
1111111111111111111111111111111111@
