11111111111111111111111111111111
1C           cC               c1
1 C         c  C             c 1
1                              1
1                              1
1           &&&&               1
1                 1111         1
1      1111        ~ 1         1
1      1311          1         1
1      1          11=1         1
1      1111       φ1=1         1
1         11    ++11=1         1
1          8      81=1         1
1          8      81=1         1
1         11      11=          1
1 c   9=    C  c    =9       C 1
1c     =            =         C1
1     9=       C    =9    c    1
1  4   =            =    2     1
11111111111111111111111111111111
